name,description,url,categories,developers,licenses,programming_languages,website_url,documentation_url,source_code_url
GridPath,A versatile simulation and optimization platform for power-system planning and operations.,https://opentools.globalpst.org/tools/gridpath,Capacity Expansion Modeling; Resource Adequacy Modeling; Production Cost Modeling,Blue Marble Analytics,Apache License 2.0,Python,,,https://github.com/blue-marble/gridpath
Switch,"Switch is a capacity-planning model for power systems with large shares of renewable energy, storage and/or demand response. It optimizes investment decisions for renewable and conventional generation, battery or hydrogen storage, hydro and other assets, based on how they would be used during a collection of sample days in many future years. The use of multiple investment periods and chronologically sequenced hours enables optimization and assessment of a long-term renewable transition based on a direct consideration of how these resources would be used hour-by-hour. The Switch platform is highly modular, allowing easy selection between prewritten components or addition of custom components as first-class elements in the model.",https://opentools.globalpst.org/tools/switch,Capacity Expansion Modeling,Environmental Defense Fund,Apache License 2.0,Python,https://switch-model.org,https://switch-model.org/,https://github.com/switch-model/switch
PyPSA,Open source toolbox for simulating and optimising modern power and energy systems,https://opentools.globalpst.org/tools/pypsa,Capacity Expansion Modeling; Production Cost Modeling,Technical University of Berlin,MIT (Expat) License,Python,https://pypsa.org/,https://pypsa.org/,https://github.com/PyPSA/PyPSA
ReEDS,The Regional Energy Deployment System (ReEDS) is NREL's flagship capacity planning model for the power sector. The model simulates the evolution of the bulk power system — generation and transmission — from present day through 2050 or later.,https://opentools.globalpst.org/tools/reeds,Capacity Expansion Modeling,NREL,GNU General Public License v3.0,Python; GAMS,,,https://github.com/NREL/ReEDS-2.0
Backbone,"Backbone represents a highly adaptable energy systems modelling framework, which can be utilized to create models for studying the design and operation of energy systems. The model can be solved as an investment model (single or multi-period, myopic, or full foresight) or as a rolling production cost / unit commitment model to simulate operations. It includes a wide range of features and constraints, such as stochastic parameters, multiple reserve products, unit start-ups (also with trajectories), energy storage units, controlled and uncontrolled energy transfers, DC power flow and can be used to represent any energy sector at a discretionary level of detail. It allows the modeler to change the temporal resolution of the model between time steps. — and this enables, for example, to use a coarser time resolution further ahead in the time horizon of the model.",https://opentools.globalpst.org/tools/backbone,Capacity Expansion Modeling; Production Cost Modeling,VTT; University College Dublin,GNU Lesser General Public License v3.0+,GAMS,https://gitlab.vtt.fi/backbone/backbone,https://gitlab.vtt.fi/backbone/backbone/-/wikis/home,https://gitlab.vtt.fi/backbone/backbone/-/tree/master
COPPER,"COPPER is a multi-period, optimization-based capacity expansion model specifically designed for the Canadian context. It analyzes Canada’s electricity system transition under various carbon management policies.",https://opentools.globalpst.org/tools/copper,Capacity Expansion Modeling,University of Victoria,MIT (Expat) License,Python,https://cme-emh.ca/inventory-model/copper/?lang=en,https://gitlab.com/sesit/copper,https://gitlab.com/sesit/copper
SpineOpt,A highly adaptable modelling framework for multi-energy systems,https://opentools.globalpst.org/tools/spine-opt,Capacity Expansion Modeling; Production Cost Modeling,KU Leuven; KTH; VTT; Energy Reform; University College Dublin,GNU Lesser General Public License v3.0+,Julia,,,https://github.com/spine-tools/SpineOpt.jl
VILLASframework,"VILLAS is framework for coupling test beds and real-time simulators between geographically distributed laboratories. The development of VILLAS is mainly driven by RWTH Aachen University and was originally designed here for geographically distributed real-time simulation of electrical networks, but can also be used without restrictions for simulation in other domains as well as multi-physical systems.",https://opentools.globalpst.org/tools/villas-framework,Co-Simulation Frameworks,RWTH Aachen University,GNU General Public License v3.0,C++; JavaScript; Python,https://www.fein-aachen.org/en/projects/villas-framework/,https://villas.fein-aachen.org/doc,https://github.com/VILLASframework
HELICS,"exible and scalable open-source co-simulation framework is designed to integrate simulators designed for separate energy system domains--such as transmission, distribution, communications, natural gas, buildings, transportation, natural gas, water, control schemes, etc. Together these simulations can co-simulate a wide range of grid-related applications ranging in spatial scale from a single controller managing an electric vehicle charging station up to regional and interconnection-scale power system behaviors at unprecedented levels of detail and speed. For example, HELICS can link multi-faceted large-scale (20,000+ node) bulk power simulations (markets, powerflow, dynamics) with thousands of distribution simulations (each with thousands of nodes), in combination with hundreds of thousands of controllers, communication simulation with hundreds of thousands of communication points, and more.  This comprehensive multi-energy simulation tool is fundamental for investment decision-making by industry. It's also important to help quantify the impact of the ever-increasing high penetration variable generation, DERs, control schemes, and other changes on the power grid reliability and resiliency; and to simulate possible solutions at scale in silico.",https://opentools.globalpst.org/tools/helics,Co-Simulation Frameworks,NREL; Pacific Northwest National Lab; Lawrence Livermore National Laboratory,BSD 3-Clause License,C++; Python; Julia; MATLAB; Octave; Java,https://helics.org/,https://docs.helics.org/en/latest/user-guide/index.html,https://github.com/GMLC-TDC/HELICS
PowerSystems.jl,"PowerSystems.jl is a package to organize and manipulate data for the study of energy systems with diverse modeling requirements. This software serves two main purposes: to reduce the burden of large power system data set development, and to promote reproducible research and simulation. PowerSystems.jl implements an abstract hierarchy to represent and customize power systems data and includes data containers for quasi-static and dynamic simulation applications.",https://opentools.globalpst.org/tools/powersystemsjl,Data Structures,NREL,BSD 3-Clause License,Julia,https://www.nrel.gov/analysis/siip.html,https://nrel-siip.github.io/PowerSystems.jl/stable/,https://github.com/NREL-SIIP/PowerSystems.jl
